Time,People Count,Density
17:39:02,5,LOW
17:39:02,5,LOW
17:39:02,5,LOW
17:39:03,5,LOW
17:39:03,5,LOW
17:39:03,5,LOW
17:39:03,5,LOW
17:39:03,5,LOW
17:39:03,5,LOW
17:39:03,5,LOW
17:39:04,6,LOW
17:39:04,6,LOW
17:39:04,6,LOW
17:39:04,5,LOW
17:39:04,6,LOW
17:39:04,5,LOW
17:39:05,6,LOW
17:39:05,6,LOW
17:39:05,5,LOW
17:39:05,6,LOW
17:39:05,5,LOW
17:39:05,5,LOW
17:39:05,5,LOW
17:39:06,5,LOW
17:39:06,6,LOW
17:39:06,5,LOW
17:39:06,5,LOW
17:39:06,5,LOW
17:39:06,5,LOW
17:39:07,4,LOW
17:39:07,4,LOW
17:39:07,5,LOW
17:39:07,4,LOW
17:39:07,5,LOW
17:39:07,5,LOW
17:39:07,5,LOW
17:39:08,5,LOW
17:39:08,5,LOW
17:39:08,5,LOW
17:39:08,5,LOW
17:39:08,5,LOW
17:39:08,5,LOW
17:39:08,5,LOW
17:39:09,5,LOW
17:39:09,6,LOW
17:39:09,6,LOW
17:39:09,6,LOW
17:39:09,5,LOW
17:39:09,5,LOW
17:39:10,5,LOW
17:39:10,4,LOW
17:39:10,5,LOW
17:39:10,6,LOW
17:39:10,6,LOW
17:39:10,6,LOW
17:39:10,6,LOW
17:39:11,7,LOW
17:39:11,6,LOW
17:39:11,6,LOW
17:39:11,5,LOW
17:39:11,5,LOW
17:39:11,5,LOW
17:39:12,5,LOW
17:39:12,5,LOW
17:39:12,5,LOW
17:39:12,5,LOW
17:39:12,5,LOW
17:39:12,4,LOW
17:39:12,4,LOW
17:39:13,4,LOW
17:39:13,4,LOW
17:39:13,4,LOW
17:39:13,5,LOW
17:39:13,5,LOW
17:39:13,6,LOW
17:39:13,5,LOW
17:39:14,6,LOW
17:39:14,6,LOW
17:39:14,5,LOW
17:39:14,8,LOW
17:39:14,8,LOW
17:39:14,8,LOW
17:39:15,6,LOW
17:39:15,6,LOW
17:39:15,7,LOW
17:39:15,5,LOW
17:39:15,7,LOW
17:39:15,7,LOW
17:39:15,7,LOW
17:39:16,6,LOW
17:39:16,4,LOW
17:39:16,5,LOW
17:39:16,5,LOW
17:39:16,5,LOW
17:39:16,6,LOW
17:39:17,5,LOW
17:39:17,6,LOW
17:39:17,6,LOW
17:39:17,5,LOW
17:39:17,6,LOW
17:39:17,6,LOW
17:39:17,7,LOW
17:39:18,6,LOW
17:39:18,6,LOW
17:39:18,11,LOW
17:39:18,10,LOW
17:39:18,7,LOW
17:39:18,8,LOW
17:39:18,8,LOW
17:39:19,9,LOW
17:39:19,8,LOW
17:39:19,9,LOW
17:39:19,9,LOW
17:39:19,8,LOW
17:39:19,8,LOW
17:39:20,6,LOW
17:39:20,6,LOW
17:39:20,10,LOW
17:39:20,9,LOW
17:39:20,13,LOW
17:39:20,10,LOW
17:39:20,10,LOW
17:39:21,10,LOW
17:39:21,11,LOW
17:39:21,14,LOW
17:39:21,14,LOW
17:39:21,15,MEDIUM
17:39:21,11,LOW
17:39:22,12,LOW
17:39:22,12,LOW
17:39:22,12,LOW
17:39:22,12,LOW
17:39:22,12,LOW
17:39:22,11,LOW
17:39:22,10,LOW
17:39:23,8,LOW
17:39:23,8,LOW
17:39:23,11,LOW
17:39:23,11,LOW
17:39:23,10,LOW
17:39:23,10,LOW
17:39:24,9,LOW
17:39:24,9,LOW
17:39:24,12,LOW
17:39:24,12,LOW
17:39:24,12,LOW
17:39:24,12,LOW
17:39:24,12,LOW
17:39:25,11,LOW
17:39:25,10,LOW
17:39:25,13,LOW
17:39:25,15,MEDIUM
17:39:25,13,LOW
17:39:25,13,LOW
17:39:25,12,LOW
17:39:26,13,LOW
17:39:26,13,LOW
17:39:26,13,LOW
17:39:26,12,LOW
17:39:26,15,MEDIUM
17:39:26,16,MEDIUM
17:39:27,12,LOW
17:39:27,14,LOW
17:39:27,13,LOW
17:39:27,15,MEDIUM
17:39:27,16,MEDIUM
17:39:27,15,MEDIUM
17:39:27,14,LOW
17:39:28,12,LOW
17:39:28,11,LOW
17:39:28,11,LOW
17:39:28,12,LOW
17:39:28,10,LOW
17:39:28,10,LOW
17:39:29,9,LOW
17:39:29,9,LOW
17:39:29,8,LOW
17:39:29,10,LOW
17:39:29,7,LOW
17:39:29,6,LOW
17:39:29,10,LOW
17:39:30,9,LOW
17:39:30,9,LOW
17:39:30,10,LOW
17:39:30,10,LOW
17:39:30,10,LOW
17:39:30,9,LOW
17:39:31,9,LOW
17:39:31,9,LOW
17:39:31,9,LOW
17:39:31,7,LOW
17:39:31,6,LOW
17:39:31,6,LOW
17:39:31,5,LOW
17:39:32,6,LOW
17:39:32,6,LOW
17:39:32,7,LOW
17:39:32,7,LOW
