Time,Area A,Area B,Best Route
18:10:07,9,36,1
18:10:08,9,34,1
18:10:08,10,37,1
18:10:08,10,39,1
18:10:08,9,36,1
18:10:08,8,39,1
18:10:08,7,38,1
18:10:09,7,37,1
18:10:09,7,37,1
18:10:09,7,36,1
18:10:09,7,35,1
18:10:09,7,36,1
18:10:09,7,39,1
18:10:10,7,37,1
18:10:10,7,35,1
18:10:10,7,37,1
18:10:10,8,41,1
18:10:10,8,38,1
18:10:10,8,37,1
18:10:11,8,39,1
18:10:11,8,42,1
18:10:11,10,41,1
18:10:11,9,42,1
18:10:11,9,41,1
18:10:11,10,41,1
18:10:11,11,41,1
18:10:12,11,41,1
18:10:12,10,41,1
18:10:12,10,42,1
18:10:12,8,42,1
18:10:12,8,41,1
18:10:13,8,39,1
18:10:13,8,39,1
18:10:13,8,34,1
18:10:13,10,36,1
18:10:13,10,37,1
18:10:13,10,36,1
18:10:14,11,39,1
18:10:14,11,40,1
18:10:14,9,39,1
18:10:14,11,36,1
18:10:14,9,35,1
18:10:14,10,30,1
18:10:15,11,28,1
18:10:15,10,31,1
18:10:15,7,32,1
18:10:15,10,33,1
18:10:15,9,33,1
18:10:15,8,39,1
18:10:16,9,41,1
18:10:16,9,45,1
18:10:16,9,47,1
18:10:16,8,45,1
18:10:16,8,44,1
18:10:16,10,46,1
18:10:17,9,47,1
18:10:17,10,47,1
18:10:17,9,46,1
18:10:17,7,48,1
18:10:17,9,46,1
18:10:17,8,43,1
18:10:17,8,41,1
18:10:18,9,46,1
18:10:18,12,44,1
18:10:18,10,44,1
18:10:18,10,40,1
18:10:18,9,40,1
18:10:18,10,38,1
18:10:19,9,40,1
18:10:19,9,37,1
18:10:19,10,39,1
18:10:19,8,32,1
18:10:19,9,30,1
18:10:19,9,34,1
18:10:20,9,41,1
18:10:20,8,41,1
18:10:20,10,35,1
18:10:20,12,33,1
18:10:20,9,34,1
18:10:20,8,40,1
18:10:20,7,39,1
18:10:21,6,43,1
18:10:21,5,41,1
18:10:21,7,41,1
18:10:21,8,39,1
18:10:21,10,38,1
18:10:21,11,43,1
18:10:22,11,46,1
18:10:22,14,46,1
18:10:22,12,50,1
18:10:22,11,46,1
18:10:22,11,42,1
18:10:22,10,44,1
18:10:23,10,48,1
18:10:23,12,43,1
18:10:23,14,40,1
18:10:23,10,41,1
18:10:23,11,41,1
18:10:23,11,37,1
18:10:23,11,35,1
18:10:24,12,36,1
18:10:24,11,41,1
18:10:24,10,38,1
18:10:24,11,38,1
18:10:24,11,36,1
18:10:24,15,35,1
18:10:25,12,38,1
18:10:25,12,37,1
18:10:25,14,36,1
18:10:25,14,39,1
18:10:25,13,37,1
18:10:25,13,38,1
18:10:26,12,37,1
18:10:26,13,35,1
18:10:26,14,37,1
18:10:26,13,37,1
18:10:26,14,40,1
18:10:26,14,39,1
18:10:26,10,40,1
18:10:27,12,38,1
18:10:27,13,37,1
18:10:27,13,41,1
18:10:27,14,40,1
18:10:27,13,42,1
18:10:27,12,39,1
18:10:28,14,37,1
18:10:28,11,36,1
18:10:28,14,38,1
18:10:28,11,36,1
18:10:28,13,37,1
18:10:28,14,34,1
18:10:29,14,36,1
18:10:29,13,36,1
18:10:29,14,34,1
18:10:29,14,34,1
18:10:29,15,34,1
18:10:29,16,38,1
18:10:29,15,38,1
18:10:30,15,35,1
18:10:30,17,43,1
18:10:30,13,38,1
18:10:30,14,39,1
18:10:30,16,34,1
18:10:30,16,43,1
18:10:31,16,38,1
18:10:31,15,38,1
18:10:31,15,37,1
18:10:31,16,39,1
18:10:31,14,44,1
18:10:31,16,43,1
18:10:32,15,40,1
18:10:32,13,41,1
18:10:32,15,49,1
18:10:32,13,43,1
18:10:32,12,39,1
18:10:32,13,40,1
18:10:32,12,40,1
18:10:33,12,41,1
18:10:33,12,36,1
18:10:33,14,36,1
18:10:33,13,35,1
18:10:33,14,37,1
18:10:33,15,33,1
18:10:34,14,39,1
18:10:34,12,41,1
18:10:34,14,41,1
18:10:34,11,42,1
18:10:34,10,35,1
18:10:34,10,41,1
18:10:35,12,39,1
